0,1
b'@CarterBoyPrince chillin man. Waiting for us to do our record 2gether man haaa wats up!!!\n',19961531
b'British national found dead in Goa village - A 39-year-old British national was found dead in his guest house room ... http://ow.ly/15Xd1t\n',61771813
"b""@BeatFreakJADE i was jus' kiddin' . . . thouqht id throw somethinq out there.\n""",47123216
b'Need to get ready for school soon! Omgg sooo sleepy! Wonder what drama shall happen today at school (:\n',34873480
b'Now playing: Topmodelz - Take On Me. Tune in: http://stream.laut.fm/eurodance.m3u\n',90078731
b'@TheRealElz242 DUDDDDDDDDDDDDDD...uze a liar from the pits of hell and i rebuke satan within u\n',74333956
"b'What shall I say ""Jurgen"", ""Domnei"" and ""The Silver Stallion"" are favorites of mine.\n'",53353788
b'@justinafever hahahaha how ironic!\n',65886278
b'@FinWilkinson LOL! Did ur chest have all kinds of goodies?\n',39947845
b'@Israh_NotIsreal @JahGetsMula lol..nah..y would i lie bout rih-rih?..lol\n',27521888
b'Today?s Special for You: a Diagram of Various Species of Geeks http://bit.ly/8DNCMS #tech #gadgets\n',69596571
"b'The 1,5 TB Western Digital Essentials external USB HBB just blows my 1 TB Toshiba totally out of the water: faster and absolutely silent.\n'",53353788
"b""BTW, the city of Cheney where I live is NOT pronounced like the former vice president's name\n""",39947845
b'Latest Celebrity News On Nothing but A Miracle http://tinyurl.com/y9rqhxl\n',110714732
"b'Nike Chairman: Tiger Woods\' Indiscretions a ""Minor Blip"" http://bit.ly/6eiuyL\n'",64995168
b'Use your Graphic Design to build emails on the web with website signup boxes for FREE!. Unique tool! http://ow.ly/Wqvl\n',29155146
b'@laurabayybee new follower:) have a good day!\n',44711166
"b""@NBATVAndre Good points. Good to know it's some good blk men still w the fight. I'm boys w E Snow. He said u were a good dude. Keep on\n""",39563785
b'Great blog post by @SarahRobinson on the shape shifters in business http://bit.ly/4nr4E0\n',17925141
b'New blog post: RedTram News Search Engine | Why Children Need Chiropractic http://bit.ly/bcSNmq\n',94729807
b'This is why I will probably never leave Harlem. This is also why I am building an office bldg here. http://bit.ly/8RLhlJ\n',24476282
b'ITV news chief returns to old paper as editor - from Hold the Front Page: New boss began his career at Suffolk weekly http://bit.ly/9vkAgD\n',47716990
b'@appetite Rambler redux - Minneapolis Star Tribune: Rambler reduxMinneapolis Star TribuneBecause the couple plan to retire in th..\n',15401533
b'Watch episodes of Parks and Recreation online now http://bit.ly/4sORi7\n',64995168
b'@TheRealElz242 lmao how bout u go add him on facebook or sumtn\n',74333956
b'New blog post: Plastic Surgery Uses and Help | The Ultimate Health Info http://bit.ly/cbYvDR\n',94729807
